[
  ["Xerox Corp.", "State"],
  ["has told employees", "Reporting"],
  ["in its Crum amp Forster personal insurance operations", "Perception"],
  ["that it is laying off about 300 people", "Occurrence"],
  ["or 25% of the staff", "Aspectual"],
  ["A spokeswoman for Crum amp Forster", "Perception"],
  ["said employees were told early this week", "Reporting"],
  ["that numerous staff functions for the personal insurance lines", "Perception"],
  ["were going to be centralized as a cost-cutting move", "Reporting"],
  ["She said the move would result in a after-tax charge of less than $4 million", "Reporting"],
  ["to be spread over the next three quarters", "Aspectual"],
  ["By comparison", "Aspectual"],
  ["for the first nine months", "Aspectual"],
  ["Xerox earned $492 million", "Reporting"],
  ["or $4.55 a share", "Aspectual"],
  ["on revenue of $12.97 billion", "Aspectual"],
  ["Earnings at Xerox's financial-services operations", "Reporting"],
  ["actually rose slightly", "Reporting"],
  ["but that was largely because capital gains at Crum amp Forster", "Reporting"],
  ["offset Hurricane Hugo payments and the reserves set up to cover future payments", "Reporting"],
  ["Property/casualty insurance", "Perception"],
  ["has been a tough business in recent quarters", "Reporting"],
  ["as pricing has been cutthroat", "Reporting"],
  ["and natural disasters such as Hurricane Hugo and the California earthquake", "Reporting"],
  ["have resulted in huge payments", "Reporting"]
]
