"[
  ["GNR", "State"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Apreende", "Intensional Action"],
  ["em", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramasde atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Aspectual"],
  ["apreendeu", "Intensional Action"],
  ["390 quilogramas de atum-rabilho
