[
  ["Violência doméstica", "Occurrence"],
  ["Pulseira eletrónica", "Aspectual"],
  ["Penafiel", "Place"],
  ["Porto", "Place"],
  ["Homem", "Person"],
  ["39 anos", "Age"],
  ["42 anos", "Age"],
  ["Violência física", "Intensional Action"],
  ["Injúrias", "Intensional Action"],
  ["Ameaças de morte", "Intensional Action"],
  ["Separação", "Intensional State"],
  ["Perseguir", "Intensional Action"],
  ["Residência", "Place"],
  ["Local de trabalho", "Place"],
  ["Botão de pânico", "Aspectual"],
  ["Medida de proteção", "Aspectual"],
  ["Teleassistência", "Aspectual"],
  ["Contactar", "Intensional Action"],
  ["Vítima", "Person"],
  ["Homem", "Person"],
  ["Criminais","Intensional State"],
  ["Ilícitos", "Intensional State"],
  ["Natureza", "Intensional State"],
  ["Proibido", "Intensional State"],
  ["Ficou", "Intensional State"],
  ["Foi", "Intensional State"],
  ["Foi ainda", "Intensional State"],
  ["Foi ainda proibido", "Intensional State"],
  ["Foi ainda proibido de contactar", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima", "Intensional State"],
  ["Foi ainda proibido de contactar a vítima
