[
  ["Homem", "Occurrence"],
  ["Um", "Aspectual"],
  ["homem", "Intensional State"],
  ["de", "Intensional State"],
  ["34", "Intensional State"],
  ["anos", "Intensional State"],
  ["funcionário", "Intensional State"],
  ["da", "Intensional State"],
  ["Transportadora", "Intensional State"],
  ["J", "Intensional State"],
  ["Amaral", "Intensional State"],
  ["em", "Intensional State"],
  ["Estarreja", "Intensional State"],
  ["Um", "Intensional State"],
  ["homem", "Intensional State"],
  ["de", "Intensional State"],
  ["34", "Intensional State"],
  ["anos", "Intensional State"],
  ["funcionário", "Intensional State"],
  ["da", "Intensional State"],
  ["Transportadora", "Intensional State"],
  ["J", "Intensional State"],
  ["Amaral", "Intensional State"],
  ["em", "Intensional State"],
  ["Estarreja", "Intensional State"],
  ["Um", "Intensional State"],
  ["homem", "Intensional State"],
  ["de", "Intensional State"],
  ["34", "Intensional State"],
  ["anos", "Intensional State"],
  ["funcionário", "Intensional State"],
  ["da", "Intensional State"],
  ["Transportadora", "Intensional State"],
  ["J", "Intensional State"],
  ["Amaral", "Intensional State"],
  ["em", "Intensional State"],
  ["Estarreja", "Intensional State"],
  ["Um", "Intensional State"],
  ["homem", "Intensional State"],
  ["de", "Intensional State"],
  ["34", "Intensional State"],
  ["anos", "Intensional State"],
  ["funcionário", "Intensional State"],
  ["da", "Intensional State"],
  ["Transportadora", "Intensional State"],
  ["J", "Intensional State"],
  ["Amaral", "Intensional State"],
  ["em", "Intensional State"],
  ["Estarreja", "Intensional State"],
  ["Um", "Intensional State"],
  ["homem", "Intensional State"],
  ["de", "Intensional State"],
  ["34", "Intensional State"],
  ["anos", "Intensional State"],
  ["funcionário", "Intensional State"],
  ["da", "Intensional State"],
  ["Transportadora", "Intensional State"],
  ["J", "Intensional State"],
  ["Amaral", "Intensional State"],
  ["em", "Intensional State"],
  ["Estarreja", "Intensional State"],
  ["Um", "Intensional State"],
  ["homem", "Intensional State"],
  ["de", "Intensional State"],
  ["34", "Intensional State"],
  ["anos", "Intensional State"],
  ["funcionário", "Intensional State"],
  ["da", "Intensional State"],
  ["Transportadora", "Intensional
