[
  ["Person", "Violência doméstica: Pulseira eletrónica para homem detido em Penafiel"],
  ["Organization", "GNR"],
  ["Organization", "Penafiel"],
  ["Organization", "Porto"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization", "Portugal"],
  ["Organization
