[
  ["Person", "Jovem de 14 anos em estado grave após ser atropelado por autocarro em Santo Tirso"],
  ["Organization", "Proteção Civil"],
  ["Organization", "Bombeiros da Vila das Aves"],
  ["Organization", "Bombeiros"],
  ["Organization", "Viatura Médica de Emergência e Reanimação de Vila Nova de Famalicão"],
  ["Organization", "Ambulância de Suporte Imediato de Vida de Santo Tirso"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "Vila das Aves"],
  ["Organization", "Vila Nova de Famalicão"],
  ["Organization", "GNR"],
  ["Organization", "Lusa"],
  ["Organization", "Porto"],
  ["Organization", "Santo Tirso"],
  ["Organization", "V
