[
  ["Date", "Time"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
 ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:00"],
  ["2020-09-26", "12:00:
