[
  ["Violência doméstica", "State"],
  ["Pulseira eletrónica", "Aspectual"],
  ["homem", "Perception"],
  ["detido", "Occurrence"],
  ["Penafiel", "Perception"],
  ["Um homem", "Intensional Action"],
  ["de 39 anos", "Aspectual"],
  ["foi colocado", "Intensional Action"],
  ["sob vigilância eletrónica", "Intensional Action"],
  ["em Penafiel", "Perception"],
  ["distrito do Porto", "Perception"],
  ["suspeito de violência física", "Intensional Action"],
  ["injúrias e ameaças de morte", "Intensional Action"],
  ["à ex-companheira", "Aspectual"],
  ["de 42 anos", "Aspectual"],
  ["informou hoje fonte da GNR", "Reporting"],
  ["Em comunicado", "Reporting"],
  ["a autoridade policial", "Reporting"],
  ["indicou que o suspeito", "Reporting"],
  ["\"não aceitou a separação e começou a perseguir a vítima na sua residência e no local de trabalho\"", "Reporting"],
  ["A mulher já usava um botão de pânico", "Reporting"],
  ["que lhe tinha sido aplicado por medida de proteção por teleassistência", "Reporting"],
  ["O homem", "Reporting"],
  ["com antecedentes criminais por ilícitos da mesma natureza", "Reporting"],
  ["ficou ainda proibido de contactar a vítima", "Reporting"]
]
