[
  ["Homem", "State"],
  ["de", "Aspectual"],
  ["48", "Aspectual"],
  ["anos", "Aspectual"],
  ["morre", "Occurrence"],
  ["em", "Aspectual"],
  ["acidente", "Occurrence"],
  ["de", "Aspectual"],
  ["trabalho", "Occurrence"],
  ["em", "Aspectual"],
  ["Mogadouro", "Location"],
  ["Um", "Intensional Action"],
  ["homem", "Intensional Action"],
  ["de", "Aspectual"],
  ["48", "Aspectual"],
  ["morreu", "Occurrence"],
  ["hoje", "Aspectual"],
  ["vítima", "Aspectual"],
  ["de", "Aspectual"],
  ["um", "Intensional Action"],
  ["acidente", "Occurrence"],
  ["de", "Aspectual"],
  ["trabalho", "Occurrence"],
  ["na", "Aspectual"],
  ["localidade", "Location"],
  ["de", "Aspectual"],
  ["Vilarinhos", "Location"],
  ["dos", "Aspectual"],
  ["Galegos", "Location"],
  ["Concelho", "Location"],
  ["de", "Aspectual"],
  ["Mogadouro", "Location"],
  ["distrito", "Location"],
  ["de", "Aspectual"],
  ["Bragança", "Location"],
  ["disse", "Reporting"],
  ["à", "Aspectual"],
  ["Lusa", "Location"],
  ["fonte", "Aspectual"],
  ["dos", "Aspectual"],
  ["bombeiros", "Location"],
  ["'", "Quote"],
  ["Trata-se", "Aspectual"],
  ["de", "Aspectual"],
  ["um", "Intensional Action"],
  ["acidente", "Occurrence"],
  ["que", "Aspectual"],
  ["envolve", "Aspectual"],
  ["uma", "Aspectual"],
  ["queda", "Occurrence"],
  ["em", "Aspectual"],
  ["altura", "Aspectual"],
  ["O", "Aspectual"],
  ["homem", "Intensional Action"],
  ["de", "Aspectual"],
  ["48", "Aspectual"],
  ["anos", "Aspectual"],
  ["trabalhava", "Aspectual"],
  ["numa", "Aspectual"],
  ["obra", "Occurrence"],
  ["de", "Aspectual"],
  ["construção", "Occurrence"],
  ["civil", "Aspectual"],
  ["A", "Aspectual"],
  ["vítima", "Aspectual"],
  ["acabaria", "Aspectual"],
  ["por", "Aspectual"],
  ["resistir", "Aspectual"],
  ["os", "Aspectual"],
  ["ferimentos", "Aspectual"],
  ["acabando", "Aspectual"],
