[
  ["Person", "Jovem de 14 anos"],
  ["Organization", "Proteção Civil"],
  ["Organization", "Bombeiros da Vila das Aves"],
  ["Organization", "Viatura Médica de Emergência e Reanimação de Vila Nova de Famalicão"],
  ["Organization", "Ambulância de Suporte Imediato de Vida de Santo Tirso"],
  ["Organization", "GNR"],
  ["Location", "Rua Luís Gonzaga Mendes de Carvalho"],
  ["Object", "autocarro"],
  ["Object", "Hospital São João"],
  ["Nature", "acidente"],
  ["Facility", "Hospital São João"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das Aves"],
  ["Other", "Vila Nova de Famalicão"],
  ["Other", "Santo Tirso"],
  ["Other", "Porto"],
  ["Other", "Vila das A
