[
  ["Person", "Homem"],
  ["Organization", "PSP"],
  ["Organization", "Proteção Civil"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
  ["Organization", "Hospital de São Bernardo"],
 
