[
  ["Homem", "Date"],
  ["de", "Time"],
  ["48", "Duration"],
  ["anos", "Set"],
  ["morre", "Time"],
  ["em", "Set"],
  ["acidente", "Set"],
  ["de", "Set"],
  ["trabalho", "Set"],
  ["em", "Set"],
  ["Mogadouro", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["de", "Set"],
  ["48", "Set"],
  ["morreu", "Set"],
  ["hoje", "Set"],
  ["vítima", "Set"],
  ["de", "Set"],
  ["um", "Set"],
  ["acidente", "Set"],
  ["de", "Set"],
  ["trabalho", "Set"],
  ["na", "Set"],
  ["localidade", "Set"],
  ["de", "Set"],
  ["Vilarinhos", "Set"],
  ["dos", "Set"],
  ["Galegos", "Set"],
  ["Concelho", "Set"],
  ["Mogadouro", "Set"],
  ["distrito", "Set"],
  ["Bragança", "Set"],
  ["Trata-se", "Set"],
  ["de", "Set"],
  ["uma", "Set"],
  ["queda", "Set"],
  ["em", "Set"],
  ["altura", "Set"],
  ["o", "Set"],
  ["homem", "Set"],
  ["de", "Set"],
  ["48", "Set"],
  ["anos", "Set"],
  ["trabalhava", "Set"],
  ["numa", "Set"],
  ["obra", "Set"],
  ["de", "Set"],
  ["construção", "Set"],
  ["civil", "Set"],
  ["a", "Set"],
  ["vítima", "Set"],
  ["acabaria", "Set"],
  ["de", "Set"],
  ["resistir", "Set"],
 ["à", "Set"],
  ["ferimentos", "Set"],
  ["acabando", "Set"],
  ["por", "Set"],
  ["falecer", "Set"],
  ["quando", "Set"],
  ["estava", "Set"],
  ["a", "Set"],
  ["ser", "Set"],
  ["transportada", "Set"],
  ["por", "Set"],
  ["ambulância", "Set"],
  ["para", "Set"],
  ["o", "Set"],
  ["campo", "Set"],
  ["de", "Set"],
  ["futebol", "Set"],
  ["onde", "Set"],
  ["depois", "Set"],
  ["seria", "Set"],
  ["helitransportada", "Set"],
  ["para", "Set"],
  ["um", "Set"],
  ["hospital", "Set"],
  ["de", "Set"],
  ["referência", "Set"],
  ["O", "Set"],
  ["alerta", "Set"],
 
